size_bytes,user_rating,user_rating_mark
14657536,4.0,medium
267590656,4.5,high
104387584,4.5,high
73767936,4.0,medium
50291712,0.0,low
48700821,3.0,low
81757184,5.0,high
114325504,4.5,high
87080960,0.0,low
145424384,4.5,high
835548160,4.5,high
15602688,0.0,low
168774656,4.0,medium
85999616,4.5,high
305618944,4.0,medium
581353472,4.0,medium
61312000,0.0,low
28517376,3.5,medium
114878464,4.0,medium
90811392,0.0,low
30906368,4.5,high
18268160,4.0,medium
112928768,4.5,high
202866688,4.5,high
21944320,5.0,high
35903488,5.0,high
51728384,4.5,high
1859333120,3.5,medium
17430528,4.5,high
149391360,4.5,high
112069632,4.0,medium
1758696448,4.5,high
144414720,4.5,high
61094912,3.5,medium
111458304,4.5,high
24167424,3.5,medium
43892736,0.0,low
79013888,4.5,high
66160640,4.5,high
31635456,4.5,high
65954816,4.5,high
1264988160,4.0,medium
242486272,5.0,high
34040832,4.5,high
102120448,0.0,low
8093696,3.5,medium
19534848,4.0,medium
40777728,0.0,low
72376320,4.5,high
515005440,4.5,high
63954944,4.5,high
339898368,4.0,medium
189608960,3.5,medium
1777940480,4.5,high
47482880,5.0,high
53097472,4.5,high
14244864,4.5,high
278077440,4.0,medium
85116928,4.5,high
162891776,4.0,medium
173849600,4.5,high
366681088,3.5,medium
37166080,4.5,high
29959168,4.5,high
113008640,0.0,low
229460992,4.5,high
216041472,4.0,medium
2662400,4.0,medium
20414464,0.0,low
95603712,4.5,high
2147328,2.0,low
146187264,4.5,high
131100672,4.5,high
68850688,3.0,low
375949016,4.0,medium
211287040,0.0,low
221880320,4.5,high
33780714,4.0,medium
179205120,4.5,high
123072512,2.5,low
17954816,3.0,low
96786432,3.0,low
44841984,0.0,low
34686976,0.0,low
134952960,4.5,high
493512704,5.0,high
1161168896,4.0,medium
73080832,0.0,low
78394368,2.5,low
157835264,4.0,medium
35883008,0.0,low
72118272,4.5,high
360306688,5.0,high
122903552,4.5,high
363020288,4.5,high
45089792,4.5,high
134466560,5.0,high
69615616,3.5,medium
120727552,0.0,low
31845376,4.0,medium
107682816,3.0,low
87174144,4.5,high
9001984,4.5,high
122429440,4.0,medium
110077952,3.5,medium
1230262272,4.5,high
226617344,4.5,high
94220288,1.5,low
60551168,4.5,high
33989632,4.5,high
80755712,3.5,medium
46342144,4.0,medium
210625536,4.5,high
40938496,3.0,low
42434560,4.0,medium
73878528,4.0,medium
81372160,4.5,high
14198784,1.0,low
34056767,3.5,medium
26029056,4.5,high
86936576,3.5,medium
197048320,4.5,high
95408128,4.0,medium
137533440,5.0,high
78128128,2.5,low
112056320,4.5,high
20499456,0.0,low
111543296,4.0,medium
76231680,4.5,high
98870272,4.0,medium
10542080,4.5,high
30449664,3.0,low
144180224,3.5,medium
12853248,1.0,low
10113024,0.0,low
149715968,4.5,high
147821568,3.0,low
280523776,4.5,high
187350016,4.5,high
54482944,5.0,high
127470592,3.0,low
109300736,4.5,high
275088384,4.0,medium
29755392,0.0,low
88055808,4.0,medium
122327040,4.5,high
2864631808,0.0,low
967158784,4.0,medium
104660992,4.5,high
92542976,3.0,low
46997504,4.0,medium
133134336,4.5,high
149256192,5.0,high
182361088,4.5,high
74841088,0.0,low
192302080,4.5,high
35344384,0.0,low
1327104,1.5,low
177752064,3.0,low
19456000,4.0,medium
1297310720,4.5,high
87287808,5.0,high
16275456,4.5,high
16596992,4.0,medium
375656448,4.5,high
80944128,3.5,medium
169842688,4.0,medium
138967040,4.0,medium
47202304,3.0,low
71068672,4.0,medium
60770304,0.0,low
5627904,2.0,low
192774144,4.5,high
30718976,4.5,high
24253440,4.5,high
40026112,0.0,low
357215232,4.0,medium
190661632,3.5,medium
86542336,5.0,high
12818432,4.0,medium
91466752,4.5,high
163149824,4.0,medium
254233600,4.5,high
1537737728,4.5,high
32038912,0.0,low
235160576,3.5,medium
1984958464,4.5,high
147118080,4.0,medium
14016512,0.0,low
11369472,2.0,low
25164800,4.0,medium
30035968,0.0,low
150966272,4.5,high
105742336,4.0,medium
110420992,3.0,low
323284992,4.0,medium
39667712,0.0,low
24176640,2.0,low
243791872,4.5,high
1433910272,4.0,medium
150419456,4.5,high
19379200,4.5,high
7704576,4.5,high
138047488,3.5,medium
915262464,4.5,high
65281024,3.5,medium
173696000,4.5,high
16411648,5.0,high
7330816,4.5,high
120760320,4.5,high
908151808,4.5,high
31710208,4.0,medium
2998989824,3.5,medium
40534016,4.5,high
17186816,0.0,low
104137728,3.0,low
73683968,3.5,medium
109049856,3.5,medium
17825792,3.0,low
168288256,5.0,high
217378816,4.0,medium
482627584,3.0,low
122886144,3.5,medium
1180584960,4.5,high
389066752,3.5,medium
175010816,4.5,high
151777280,2.5,low
31798272,4.5,high
139665408,4.0,medium
70346752,0.0,low
185580544,4.5,high
186052608,0.0,low
23707648,0.0,low
525569024,4.5,high
89405440,0.0,low
43731968,0.0,low
301272064,4.5,high
37883904,3.5,medium
633698304,3.5,medium
82781184,4.5,high
37110784,4.0,medium
108829696,0.0,low
45176832,0.0,low
26227712,2.5,low
25918464,0.0,low
1069375488,4.0,medium
218665984,0.0,low
26939392,4.5,high
350794752,4.0,medium
65695744,0.0,low
66212864,0.0,low
33991680,4.5,high
98246656,0.0,low
66138112,4.0,medium
29283328,4.5,high
63365120,4.5,high
918957056,4.5,high
125418496,4.0,medium
103305216,4.5,high
118496256,4.0,medium
15938560,3.0,low
353280000,4.0,medium
54193152,4.0,medium
125991936,3.0,low
108589056,0.0,low
422011904,4.5,high
256049152,0.0,low
185982976,4.5,high
139014144,4.5,high
208276480,0.0,low
319692800,4.0,medium
920238080,4.5,high
111875072,4.0,medium
81876992,3.5,medium
345457664,4.0,medium
73638912,4.5,high
93304832,4.5,high
41964544,4.0,medium
400217088,0.0,low
7053312,4.0,medium
349272064,4.0,medium
44135424,4.0,medium
1322848256,4.0,medium
656701440,5.0,high
12115968,4.0,medium
83620864,4.5,high
96230400,3.5,medium
94298112,4.5,high
258815519,4.0,medium
44328960,4.0,medium
14505984,0.0,low
90843136,1.0,low
896147456,0.0,low
94370816,4.5,high
65502208,3.0,low
48665600,0.0,low
34791424,4.5,high
615645184,4.5,high
152700928,4.5,high
38723584,3.0,low
102730752,4.0,medium
112316416,4.5,high
129096704,4.0,medium
55153664,4.5,high
890523648,4.0,medium
129610752,5.0,high
147982336,4.5,high
49250304,4.5,high
124789760,4.5,high
28254208,0.0,low
49946624,4.5,high
17610752,0.0,low
71191552,4.0,medium
103049216,4.5,high
187049984,4.0,medium
246093824,4.5,high
128664576,4.5,high
45659136,4.5,high
23851008,2.5,low
63474688,3.5,medium
26094592,4.5,high
61915136,4.0,medium
1062202368,4.5,high
92841984,3.0,low
9965568,3.0,low
51459072,4.0,medium
63457280,4.5,high
177651712,4.5,high
161188864,4.5,high
13214720,0.0,low
229272576,4.0,medium
824104960,4.0,medium
587313152,4.5,high
400202752,4.5,high
36271104,0.0,low
12994560,0.0,low
84056064,3.5,medium
10645504,4.5,high
159013888,4.5,high
127670272,4.0,medium
436621312,4.5,high
42897408,4.5,high
16656384,4.5,high
3923968,4.0,medium
68358144,1.5,low
51230720,4.5,high
32416768,4.5,high
70262784,4.5,high
70959104,4.5,high
123295744,4.0,medium
34081792,3.5,medium
109808640,2.0,low
41298944,4.5,high
152170496,0.0,low
49474560,4.5,high
37103616,4.5,high
84990976,4.0,medium
81171456,4.5,high
13450240,4.0,medium
264453120,4.0,medium
18636800,5.0,high
100689920,3.5,medium
126644224,4.5,high
67291136,0.0,low
2425856,4.0,medium
21285888,4.0,medium
532379648,3.0,low
22749184,1.0,low
546985984,3.5,medium
89993216,4.0,medium
84481024,3.5,medium
24169472,0.0,low
30017536,4.5,high
36395008,3.5,medium
209350656,4.0,medium
