size_bytes,user_rating,user_rating_mark
342845440,4.5,
41485312,5.0,
324028416,4.5,
151109632,4.5,
26137600,4.5,
187652096,4.5,
51880960,4.0,
43940864,0.0,
77390848,4.5,
106536960,4.5,
70244352,4.5,
43502592,3.5,
141868032,3.5,
228882432,4.0,
332871680,2.5,
5851136,4.5,
85424128,4.0,
268592128,5.0,
69079040,4.0,
132711424,4.0,
60976128,3.5,
82898944,3.5,
293660672,4.5,
6398976,4.5,
485908480,2.5,
325997568,0.0,
106917888,4.5,
174268416,4.0,
14366720,0.0,
63974400,4.0,
35807232,4.5,
395749376,4.0,
68153344,4.5,
166803456,4.5,
390078464,0.0,
55676928,4.0,
147377152,4.0,
106427392,4.5,
1178562560,4.5,
75766784,4.5,
666117120,4.5,
161695744,4.5,
107710464,3.5,
138093568,4.0,
16292864,2.5,
91060224,3.0,
98942976,2.0,
63283200,4.5,
83994624,4.0,
446949376,4.0,
49645568,0.0,
56849408,4.5,
2318708736,3.5,
30650368,4.5,
113509376,5.0,
33743872,4.5,
208309248,3.0,
41596928,3.0,
37760000,4.0,
85362688,4.0,
157679616,4.0,
403332096,0.0,
132968448,4.5,
241339392,0.0,
111938560,4.5,
54776832,4.0,
115707904,4.0,
56923703,4.0,
80323584,0.0,
42312704,0.0,
87481344,4.0,
232399872,4.5,
24354816,4.5,
2158592,2.5,
47585280,4.5,
726392832,4.0,
148507648,4.0,
184324096,0.0,
89677824,5.0,
136354816,4.5,
35182592,2.5,
112036864,4.5,
11083776,3.5,
136184832,4.0,
16487424,0.0,
44208128,0.0,
222483456,4.0,
142196736,4.5,
106643456,0.0,
82789376,0.0,
74435584,5.0,
138738688,4.0,
172691456,4.5,
175606784,4.5,
91105280,4.5,
226961408,4.5,
685733888,4.5,
218329088,4.0,
413392896,3.0,
48819200,5.0,
96872448,4.5,
21010210,4.0,
408755200,2.5,
83575808,3.0,
30601216,3.5,
